,contract_id,starts_on,company_id,first_disb_date,grace_period_days,max_disposition_percentage,projection_uuid,projected_financing_days,principal_amount,take_rate,min_daily_payment,max_daily_payment,disbursement_fee,blended_contract_id,projection_method,payment_model,product_type,platforms,sat_conn,first_dd_date,sat_declaration_rate,total_sat_rate,avr_cf_l3m,avr_cf_l6m,avr_cf_l12m,avr_gross_m_l3m,avr_gross_m_l6m,avr_gross_m_l12m,avr_net_m_l3m,avr_net_m_l6m,avr_net_m_l12m,av_itmes_l3m,av_itmes_l6m,av_itmes_l12m,av_amount_l3m,av_amount_l6m,av_amount_l12m,moratory_av_itmes_l3m,moratory_av_itmes_l6m,moratory_av_itmes_l12m,moratory_av_amount_l3m,moratory_av_amount_l6m,moratory_av_amount_l12m,meli_fin_var,peg_invoicing,concentration_clients,data_sat_days,l3m_total_employees,l6m_total_employees,l12m_total_employees
125,82bbc238-1b52-45c8-a536-a7505005e385,2021-12-22,df4debd3-cecc-4c7f-a967-396a39cec358,2022-02-28,30,0.5,d6a078af-e07f-4568-b5f7-17e97118b2f9,90,500000.0,0.0,5000.0,5000.0,0.075,0,0,fixed-payments,working-capital,2,1,2022-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,5594b56e-eb5d-4ac3-b52e-7d3fb41b05ce,2021-11-17,08e40343-54aa-49d1-9317-4dbcd16ee70f,2021-11-25,60,0.5,5110e702-1924-4479-9ef9-e4f720ceb38d,150,8000000.0,0.0,60000.0,60000.0,0.083,0,0,fixed-payments,working-capital,1,1,2022-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,915162d4-6026-4095-aa4a-18183d7587d2,2022-01-24,b1239e20-4874-413b-a260-74c6f27c04e4,2022-02-01,30,0.45,327f6f68-6022-4ecb-b628-0d1f185aac67,150,1500000.0,0.0,8000.0,8000.0,0.1,0,0,fixed-payments,working-capital,2,1,2022-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,d304d8e2-a6ff-4d5b-aaca-55dbd8033d4b,2021-11-17,2dfdd356-5cd4-44c2-8387-3b55f7cb75db,2021-12-01,30,0.25,bb4f7eae-fa39-4a53-a485-4e214f19c943,240,210000.0,0.0,1860.0,1860.0,0.14,3c16aa75-2677-4a55-ba11-e0709bb3bdc9,0,fixed-payments,working-capital,1,1,2021-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,5682ee80-14b9-4566-9743-ebcd0e8465f7,2022-01-21,67022d7b-3c90-40fb-aec8-85a36001bdbd,2022-02-08,45,0.5,9b034723-5461-43d5-82b4-bf199e43bf42,270,1000000.0,0.28,3900.0,6600.0,0.12,3e3f50dd-3e45-4269-8438-f447df4b66ad,0,revenue-based-capped,working-capital,4,1,2022-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,432cecd0-0a33-4050-a694-9dd3607b598c,2021-10-19,d1b258d1-9f86-4139-b9ce-de1d33e3434f,2021-10-29,30,0.25,9c10fa81-dab7-4951-9fdd-54e988c87209,300,810000.0,0.08,2700.0,4400.0,0.11,c1e5427c-659b-4f22-846a-ff5aa307a254,,revenue-based-capped,working-capital,1,1,2021-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,2e0aa88b-289a-4da4-9e0b-6bcb0c039ae9,2022-03-02,4f4e5a1d-60c9-4fe7-ab7f-ecef8cd7cc06,2022-03-11,30,0.35,5f6a16b3-4e3f-412e-a971-9183d76c100b,300,1300000.0,0.12,7590.0,9500.0,0.115,2969e88e-3996-496b-8c4c-1bd0a1b670a2,0,revenue-based-capped,working-capital,1,1,2022-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,0b774071-2e02-4335-9a92-1452d46c97ff,2022-07-20,b7e232c6-462e-4b0d-9f7a-c4135d67c825,2022-07-25,30,0.35,e50f8fc9-3f5f-4f95-be48-6d7a34adc686,267,1500000.0,0.0,12500.0,12500.0,0.104,685e0fd7-dae3-492b-a4ee-24afa404bb45,rp,fixed-payments,working-capital,1,1,2022-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,3b8a623a-3279-44ee-92c3-92f0d070046f,2021-02-22,5474268b-8ade-40fa-abab-a498579fd98a,2021-02-22,60,0.5,17759b26-20d0-48e0-97ca-984c60e79da5,210,30000000.0,0.28,283333.33,316666.66,0.07,0,0,revenue-based-capped,working-capital,1,1,2021-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,4f44ac28-69dc-45c2-82e3-3bc258984e51,2022-05-06,76198eb9-2e02-4145-958f-9bfa5f3169ea,2022-05-18,30,0.4,cc08d744-639a-414a-965e-aa7db77c45e1,270,1350000.0,0.0,6300.0,6300.0,0.108,0,pandemic,fixed-payments,working-capital,2,1,2022-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,d52e8826-51a1-4695-ab80-e37f904442d6,2022-02-17,810155a4-0d37-4ec3-8fa2-ede4cae287ac,2022-03-16,45,0.33,5d885f93-13ff-4adb-abe5-ad2e3d17da6e,240,1200000.0,0.0,6800.0,6800.0,0.092,0,0,fixed-payments,working-capital,3,1,2022-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,85ede5a6-7cf2-43f7-b0ac-289e2c47e5b9,2022-01-28,fc054669-1734-4e44-a47c-e344302f8e17,2022-02-04,45,0.5,7b8dcb9e-f687-4f73-bca2-913f9ebdb96f,270,6000000.0,0.26,28000.0,33000.0,0.108,0,0,revenue-based-capped,working-capital,1,1,2022-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
