,contract_id,starts_on,company_id,first_disb_date,grace_period_days,max_disposition_percentage,projection_uuid,projected_financing_days,principal_amount,take_rate,min_daily_payment,max_daily_payment,disbursement_fee,blended_contract_id,projection_method,payment_model,product_type,platforms,sat_conn
278,22a05bff-fa91-462a-84d1-2690101e948e,2021-06-07,1b79a8fc-0d36-49dd-b27a-87446d803049,2021-06-17,30,0.25,5bb84d3f-676d-46fa-813f-40d353c6f560,210,106291.0,0.055,380.0,450.0,0.15,,,revenue-based-capped,working-capital,0,0
279,9be109d8-b526-4fba-82a6-9d03827ab6a7,2021-06-10,41a4c2af-8a6a-470f-bc4d-182f9a512bee,2021-06-14,30,0.25,af0b6b9d-3e18-4bda-8c84-bbdd0409c8be,300,301913.0,0.13,1250.0,1550.0,0.14,0cc522d2-0d7c-4afe-8829-516a1826bc07,,revenue-based-capped,working-capital,1,0
280,3bb776d4-b482-4ec8-9260-4b5a36ce7dbb,2021-06-14,441a2d9a-6031-45ba-a70f-1be781170c96,2021-06-15,30,0.5,36801d3c-1335-4e6e-9eaf-f6fb980973ff,180,3000000.0,0.4,21856.0,21856.0,0.08,,,fixed-payments,working-capital,3,0
281,fca18b8b-0b5f-432f-b2a0-ab4957f2119e,2021-06-14,3b7a3704-dd71-439b-8427-ddd312219b51,,30,0.3333,45629b45-5645-4065-b283-da8873c6a0a5,210,162741.0,0.15,655.0,860.0,0.13,,,revenue-based-capped,working-capital,1,1
282,e82d34fe-37ed-46d4-a58b-9e8bb2389ddc,2021-06-16,691e494a-dc5e-4845-8f31-9721dc4fe6ca,2021-06-18,30,0.4,26f6fd58-66de-41c3-a422-804522a6057d,240,7000000.0,0.27,21600.0,31500.0,0.133,,,revenue-based-capped,working-capital,2,1
283,7875aad0-d98b-4025-803d-3d03ecb8542c,2021-06-25,3cb3c605-e923-4bbb-bc14-74d1ffbc6923,2021-06-28,30,0.25,e4fa8c14-32c0-4da0-9702-767b779d8282,240,120474.0,0.038,380.0,495.0,0.15,,,revenue-based-capped,working-capital,1,0
284,08402d26-6a5b-4054-9b6b-b949523d451d,2021-06-25,cf5a98a4-580e-4dba-b91f-6602552d4dff,2021-07-22,30,0.3333,30ee958d-8791-4605-b47a-21f9646a4458,240,550000.0,0.037,2300.0,3100.0,0.1065,,,revenue-based-capped,working-capital,1,0
285,6c4a75d3-57cf-4e6f-89e1-fd0d8c5bb7e1,2021-06-28,6d960cbf-a614-468b-b528-0e11e940ed19,,30,0.25,,210,502758.0,0.065,1800.0,2300.0,0.134,,,revenue-based-capped,working-capital,0,0
286,e1124579-3108-4966-88eb-bc9fc2049681,2021-06-29,e016085b-6f9d-4dd9-9812-3516d885b9ca,2021-07-02,30,0.27,dc150bfa-efdf-446f-ad25-ad06908abb13,180,750000.0,0.188,2700.0,3300.0,0.12,,,revenue-based-capped,working-capital,2,1
287,215f7f74-8a61-4b62-a437-40d3026ab129,2021-06-29,17103e9e-48d2-42ec-907a-e2b4bcc73e07,2021-07-05,30,0.25,342a5027-4f8a-428f-bb6d-69eed69b215d,240,305797.0,0.18,1200.0,1600.0,0.15,58c1175c-d879-4ca3-b1c2-a00c33584cfd,,revenue-based-capped,working-capital,1,0
288,2969e88e-3996-496b-8c4c-1bd0a1b670a2,2021-06-30,4f4e5a1d-60c9-4fe7-ab7f-ecef8cd7cc06,2021-07-29,30,0.3333,cb64900b-af8c-46e1-8baf-29504e94f300,240,1069873.0,0.05,3650.0,4800.0,0.12,,,revenue-based-capped,working-capital,1,1
289,375f948f-7176-40d7-a348-f8fe78800c13,2021-07-08,8e60ab46-986d-49af-9a10-9990bb0ea832,2021-07-21,30,1.0,54b78058-fa41-47f0-976b-82e330c71bda,210,200000.0,0.235,2990.0,3600.0,0.12,a3a56341-ec2c-4320-a2a4-2b58cc7dfda5,,revenue-based-capped,working-capital,1,1
290,df451aa0-03c6-4864-a75b-bd3654541eb4,2021-07-13,4d353740-92ad-4bb0-9cb6-924722752869,2021-07-19,30,0.25,19d62fa8-97ab-49df-845a-28b3371b7f38,240,369086.0,0.11,1200.0,1700.0,0.12,,,revenue-based-capped,working-capital,1,0
291,7c5ef068-243e-4f0a-b5a2-76478bae5611,2021-07-14,8af95fc4-ddfe-40dc-8137-4dce775a60ea,2021-07-22,30,0.5,3a4457d4-0b7b-4ac9-8b67-db3ebadd5b5b,240,100000.0,0.031,450.0,450.0,0.15,,,fixed-payments,working-capital,1,1
292,3a51a9bf-21d6-4d87-98a4-ce392a0dbf13,2021-07-15,701d6d5d-984d-4e54-917a-ec1102a76a8a,2021-07-21,30,1.0,cf29173f-d03b-4fa7-bc60-17a8293bbbf3,180,548185.0,0.0,5050.43,5050.43,0.091,,,fixed-payments,working-capital,1,0
293,9a5506d7-4873-4190-a61e-dd75aa3dded8,2021-07-15,448230fc-7892-41ae-9e1b-4214af5f92ec,2021-07-20,30,0.33333,c0eae688-7278-4f40-96ed-3341a0722627,210,3000000.0,0.25,12200.0,15500.0,0.109,,,revenue-based-capped,working-capital,1,1
294,8649e863-0a8f-46a8-b4a7-75140e2d87dc,2021-07-16,49fc1d2c-4fbd-43ca-acd9-f6f20e0c5027,2021-07-27,30,0.25,c1748413-3517-43be-a817-f01c8764e70f,210,1000000.0,0.145,6300.0,8100.0,0.12,10467f31-89fa-4d3c-a357-cfa09a98249b,,revenue-based-capped,working-capital,1,0
295,172b2cdd-028e-4a35-87d0-4d330c3611c5,2021-07-20,0abe5f05-c40a-48ee-a76f-1730512ad545,,30,0.25,92554ac0-474b-427a-b55f-4a14d95a45bf,180,450000.0,0.14,1600.0,2000.0,0.13,,,revenue-based-capped,working-capital,1,0
296,6c173e1d-a50b-4088-8f73-d2594ae40287,2021-07-27,2cbf8375-e0aa-4bbb-b619-86a51ea971b6,2021-08-12,30,0.5,9c6505b6-261f-4084-b38a-94c9b3f1c8c9,210,2400000.0,0.24,10800.0,14500.0,0.114,,,revenue-based-capped,working-capital,0,1
297,df889224-3721-4206-afb3-a3ea3ad64405,2021-07-29,62e5f890-c221-4c93-a60c-2c9a4aeede16,2021-08-04,30,0.25,52167944-d6bd-4b20-ae95-fc68186f8bf0,270,4300110.0,0.0,20500.0,20500.0,0.1,3a8d1915-58d5-4c45-a7c7-19746856446b,,fixed-payments,working-capital,1,0
298,2973b449-a97e-429e-b7a3-e223935ab57c,2021-07-30,f61b3749-9642-4a40-9414-14d631f8a506,2021-08-17,30,0.3333,5cbd88a6-fb3f-4326-8927-24e23332f343,210,300000.0,0.094,1300.0,1300.0,0.146,,,fixed-payments,working-capital,2,1
299,69e735d7-bf91-4efb-95dd-5a14b57c10f6,2021-07-08,5474268b-8ade-40fa-abab-a498579fd98a,2021-07-12,60,0.5,e3881272-89c1-4593-92cd-04b2d6d8ac2e,360,20000000.0,0.11,186413.79,202093.46,0.07,,,revenue-based-capped,working-capital,1,1
300,846bc4d3-cc1c-4d3a-88f5-aefb0c42054c,2021-08-02,96cc7cac-dc6f-40a9-aba4-76e389ad3e26,2021-08-17,30,0.3333,2e014f92-d4bc-4f41-9be5-0726e2157624,210,400000.0,0.16,1550.0,1950.0,0.14,,,revenue-based-capped,working-capital,1,1
301,66c44b69-957d-45b1-b0f1-dd1efb03f982,2021-08-03,7cf40ac6-9a2d-4455-a6a2-149b8fb3d8da,,30,0.25,e55406a0-69c7-4db9-aee4-ca143ed4b719,180,53613.0,0.055,187.0,250.0,0.155,,,revenue-based-capped,working-capital,1,1
302,32472f58-4e4d-4c7a-b73f-23fc7044742c,2021-08-08,a018e181-2572-47ad-bafc-ae3f5c33d6a3,,30,0.3333,02ceba5e-a287-40c0-a199-a06ee148f129,210,800000.0,0.085,2750.0,3500.0,0.138,,,revenue-based-capped,working-capital,0,0
303,eaef8239-3a1b-4d9d-9263-df887fc77354,2021-08-09,12a446e7-96b7-40b2-bdee-247c50722b33,2021-08-30,60,0.35,1b284679-c448-47f7-b006-ec113d2b345d,180,20000000.0,0.1,107399.48,107399.48,0.11,,,fixed-payments,working-capital,0,1
304,31cc1355-c5bb-4413-a2ce-cc242afc07b4,2021-08-09,cf5a98a4-580e-4dba-b91f-6602552d4dff,2021-08-11,30,0.34,71e7cd74-991d-42c0-8513-c8ef3634c97b,180,4000000.0,0.19,16150.0,20800.0,0.098,08402d26-6a5b-4054-9b6b-b949523d451d,,revenue-based-capped,working-capital,1,0
305,e81c18ec-dcb6-4812-817e-9cfee4d9a58f,2021-08-10,2d2581a8-4094-49a0-8d4a-7b31f2cc6818,2021-08-30,30,0.5,0fdfd409-19e2-4845-a721-45bcc0393442,240,310000.0,0.3,1390.0,1890.0,0.155,43740e94-f362-46aa-bdc4-75fbca1c12ee,,revenue-based-capped,working-capital,1,1
306,45f76df6-9a65-4ccd-87d6-662a40b77567,2021-08-10,0cbd5fc1-ee59-416b-88e9-b4b3cd588304,2021-10-11,30,0.25,420ebe86-35fb-43fa-818b-e2dddad462d8,210,100000.0,0.174,400.0,400.0,0.147,,,fixed-payments,working-capital,0,0
307,8700a52e-806b-440e-b98f-63316476c593,2021-08-12,82c1c737-51e0-41eb-9481-9a4b3cef4dd6,2021-08-17,30,0.45,db79b34e-ce23-4be2-97cc-b4fc92a9504a,180,500000.0,0.23,2350.0,3000.0,0.13,,,revenue-based-capped,working-capital,1,1
308,5cc476bf-38cf-4e99-a04c-d70c6e2f6157,2021-08-13,0bae2e15-bed4-4b8e-b8cb-3f5f6eb5819c,2021-08-26,30,0.32,9228b21c-7b88-489e-8ebd-d7986d0dc3dc,150,1100000.0,0.165,4420.0,5900.0,0.1115,,,revenue-based-capped,working-capital,0,1
309,ffaa7f15-3efd-4cf4-bfb2-e93cbaba4f1e,2021-08-16,087f9608-8f97-48ae-8ee4-a0b8a3cea8e9,2021-08-20,30,0.35,232d104d-1078-4d17-8001-74972faf4123,210,650000.0,0.35,2600.0,3400.0,0.139,,,revenue-based-capped,working-capital,3,1
310,5e3f322b-0870-4c69-bd86-26dbcd01f07e,2021-08-25,5a7fee1f-81ad-4e96-88e5-646bdc32db10,,30,0.25,2ea07132-ea63-4d7c-b68d-c342d57c7ed4,180,80000.0,0.27,280.0,363.0,0.15,,,revenue-based-capped,working-capital,1,1
311,cb78ab30-fc1e-4d82-905d-019e10d1264f,2021-08-31,045d38cc-1f3c-40ba-a949-1669abbf5f22,2021-10-01,30,0.26,6ec5e0c0-68d0-4455-89eb-959a6559cbaa,180,730000.0,0.17,2800.0,3500.0,0.125,,,revenue-based-capped,working-capital,1,1
312,aa7ba6b9-240c-419a-9c92-6f254049e657,2021-08-31,424db1e7-26fe-4dda-bfcc-7ab59fe95040,2021-09-17,30,0.3333,02a86214-cb6e-42ce-8887-8d16542bbffc,210,882000.0,0.2,3350.0,4300.0,0.13,,,revenue-based-capped,working-capital,3,1
313,94b30974-a9b0-4e92-a0cb-b4aece1eea06,2021-09-01,e251b746-b8d1-4559-96ef-3e611a22cafa,2021-10-04,30,0.5,88ab5acb-5056-49cc-a391-9d8d69978063,150,500000.0,0.1,2000.0,3200.0,0.14,,,revenue-based-capped,working-capital,4,0
314,11c4e2e4-74a8-4bf8-b271-2abbeb6a38c1,2021-09-03,686aac8f-3737-4876-99c8-e9828fca417a,2021-09-13,60,0.5,83458d42-3e7f-439e-9549-2eeacd0abf6c,120,10000000.0,0.0,91298.67,91298.67,0.0824,,,fixed-payments,sales-advancement,0,1
315,2118376c-f24e-4d46-bbdb-a182b1b74e3c,2021-09-06,3b1d1419-bd42-4c08-b110-90f498f0ee73,2021-09-14,30,0.3333,a7d0b43e-c2db-4501-8f3c-cf7a7f4c309e,210,4400000.0,0.15,14500.0,19000.0,0.123,,,revenue-based-capped,working-capital,1,1
316,d0bf5edd-55ec-446c-9b75-11d90b8cd252,2021-09-10,fffa4f13-1c84-4eff-97ec-30065f0c430b,2021-09-21,30,0.3,d269a71d-1694-488e-8d55-3aa595ca5e40,180,920000.0,0.363,3900.0,3900.0,0.12,,,fixed-payments,working-capital,1,1
317,5c02a61f-e7d7-4181-bab0-f81508e051fa,2021-09-14,c6530cf1-6942-4341-aa7a-36dfa3514de8,2021-09-15,30,1.0,aeceed09-389e-409b-bf19-918f1b3c1b92,120,14000000.0,0.0,165480.0,165480.0,0.0638,,,fixed-payments,working-capital,2,1
318,fd2d90a5-5811-4825-8439-61092fc035f8,2021-09-17,e9f5ee06-9029-4a49-923f-995829b39b8c,2021-09-20,30,0.5,0afa21ec-3cd0-4a0e-b277-32f6868acc6a,120,3000000.0,0.081,21640.0,21640.0,0.07,,,fixed-payments,working-capital,3,1
319,a31be1b4-5424-4eb2-b3d1-ca4c7d88cbf5,2021-10-01,97503d87-af9f-4295-8aac-185eb228a0f3,2021-10-18,30,0.5,936d0fd6-7b4e-4b48-bb7f-27a963859547,270,2000000.0,0.0,16200.0,16200.0,0.12,27f42f3d-b09c-409a-8280-6d60a3e0c0a8,,fixed-payments,working-capital,1,1
